shortnam,logpgp95,loghjypl,avexpr,lat_abst,logem4,malfal94,yellow,leb95,imr95,meantemp,lt100km,euro1900,democ1,cons1,democ00a,cons00a
AGO,7.770645,-3.411248,5.363636,0.1366667,5.634789,0.95,1,46.49,125,22.94133,0.118758,8,0,3,0,1
ARG,9.133459,-0.8722738,6.386364,0.3777778,4.232656,0,0,72.89,21.8,17.1,0.123089,60,1,1,3,3
AUS,9.897972,-0.1707883,9.318182,0.3,2.145931,0,1,78.25,5.6,20.9,0.198958,98,10,7,10,7
BFA,6.84588,-3.540459,4.454545,0.1444445,5.634789,0.95,1,44.39,98.8,28.1,0,0,0,3,0,1
BGD,6.877296,-2.063568,5.136364,0.2666667,4.268438,0.12008,1,58.13,78.8,25.68621,0.401598,0,8,7,0,1
BHS,9.285448,,7.5,0.2683333,4.442651,,1,,,,,10,,,,
BOL,7.926602,-1.966113,5.636364,0.1888889,4.26268,0.00165,1,61.39,65.6,21.5,0,30,1,3,4,3
BRA,8.727454,-1.142564,7.909091,0.1111111,4.26268,0.036,1,66.78,42.4,23.7,0.092516,40,1,1,1,3
CAN,9.986449,-0.0608122,9.727273,0.6666667,2.778819,0,0,78.98,6,-0.2,0.021164,99,7,7,9,7
CHL,9.336092,-1.335601,7.818182,0.3333333,4.232656,0,0,74.94,12.8,13.4,0.660182,50,1,1,5,7
CIV,7.444249,-2.333044,7,0.0888889,6.504288,0.95,1,46.72,87.3,26.0907,0.171056,0,0,1,0,1
CMR,7.501082,-2.577022,6.454545,0.0666667,5.634789,0.95,1,54.73,74.4,24.43333,0.09824,0,0,3,0,1
COG,7.420579,-2.103734,4.681818,0.0111111,5.480639,0.95,1,48.55,89.5,24.75151,0.047893,0,5,4,0,1
COL,8.809863,-1.331806,7.318182,0.0444444,4.26268,0.14637,1,70.43,30,22.5,0.159722,20,4,3,3,5
CRI,8.794825,-1.358679,7.045455,0.1111111,4.35799,0,1,76.03,12.1,25.1,1,20,0,3,10,7
DOM,8.364042,-1.579879,6.181818,0.2111111,4.867535,0,1,70.61,33.6,25.6,1,25,1,3,1,3
DZA,8.389359,-1.114742,6.5,0.3111111,4.35927,0,0,68.89,43.8,19.3,0.047186,13,0,2,0,1
ECU,8.470101,-1.439695,6.545455,0.0222222,4.26268,0.11895,0,69.52,45.6,19.1,0.368411,30,1,3,1,3
EGY,7.95156,-1.676647,6.772727,0.3,4.216562,0,0,66.27,50.5,22.6,0.239163,0,0,1,7,7
ETH,6.109248,,5.727273,0.0888889,3.258096,0.551,1,43.32,116,,0.021018,0,0,1,5,7
GAB,8.907883,-1.851509,7.818182,0.0111111,5.634789,0.9405,1,52.42,87.3,24.5,0.261791,0,0,2,0,1
GHA,7.36518,-2.956511,6.272727,0.0888889,6.504288,0.95,1,60,65.8,26.35758,0.192991,0,0,1,0,1
GIN,7.489971,-3.146555,6.545455,0.1222222,6.180017,0.95,1,46.5,124,24.43889,0.140641,0,0,1,0,1
GMB,7.272398,-3.036554,8.272727,0.1475556,7.293018,0.95,1,47,122,25.66596,0.39977,0,10,7,0,1
GTM,8.294049,-1.560648,5.136364,0.17,4.26268,0.0036,1,64.04,46,21.7,0.425458,20,1,1,0,1
GUY,7.904704,-2.253795,5.886364,0.0555556,3.471345,0.49503,1,,,,,2,5,7,0,1
HKG,10.04975,-0.4975804,8.136364,0.2461111,2.701361,0,0,,,22.6,1,4,,,,
HND,7.68708,-2.040221,5.318182,0.1666667,4.35799,0.012,1,69.4,35,25.4,0.668602,20,1,3,6,5
HTI,7.146772,-2.864704,3.727273,0.2111111,4.867535,1,1,53.75,67.7,26.58033,1,0,0,1,0,1
IDN,8.070906,-2.207275,7.590909,0.0556,5.135798,0.17873,1,65.13,48.4,26.8,0.74576,0,0,1,0,1
IND,7.326,-2.453408,8.272727,0.2222,3.884241,0.23596,0,62.59,72.3,25.9,0.156776,0,9,7,0,1
JAM,8.188689,-2.040221,7.090909,0.2016667,4.867535,0,1,74.82,21.9,26.5,1,1.9,10,7,0,1
KEN,7.056175,-2.882404,6.045455,0.0111111,4.976734,0.798,1,52.04,65.5,22.6,0.082504,0,5,5,0,1
LKA,7.731931,-1.86433,6.045455,0.0777778,4.245634,0.138,1,73.11,17.6,27.6,0.99362,0,7,7,0,1
MAR,8.042378,-1.676647,7.090909,0.3555556,4.35927,0,0,66.64,51,18.5,0.367858,1,1,1,1,1
MDG,6.835185,-3.194183,4.454545,0.2222222,6.284209,0.95,1,57.51,82.5,23.3,0.570964,0,3,4,0,1
MEX,8.943768,-0.8370175,7.5,0.2555556,4.26268,0.00042,1,72.18,31,19,0.37255,15,1,3,0,1
MLI,6.565265,-3.352407,4,0.1888889,7.986165,0.9405,1,53.3,118,29.3,0,0,0,3,0,1
MLT,9.427063,-0.7700282,7.227273,0.3944444,2.791165,,0,,,,,,,,,
MYS,8.894258,-1.320507,7.954545,0.0255556,2.873565,0.23331,1,72,11.4,26.7,0.794407,0,10,7,0,1
NER,6.733402,-3.540459,5,0.1777778,5.991465,0.9405,1,48.5,115,28.4,0,0,0,3,0,1
NGA,6.813445,-3.036554,5.545455,0.1111111,7.602901,0.95,1,50.08,81.1,26.65065,0.097769,0,8,7,0,1
NIC,7.544332,-2.071473,5.227273,0.1444445,5.095589,0.044,1,67.86,43.4,26.63333,0.632686,20,1,1,1,1
NZL,9.756147,-0.3326794,9.727273,0.4555556,2.145931,0,0,76.9,6.8,12.8,0.959488,93,10,7,10,7
PAK,7.352441,-2.055725,6.045455,0.3333333,3.610648,0.53757,1,63.95,74.1,23.5,0.094196,0,1,1,0,1
PAN,8.836374,-1.500584,5.909091,0.1,5.095589,0.08004,1,73.6,21.4,27.5,1,20,0,3,0,1
PER,8.396154,-1.439695,5.772727,0.1111111,4.26268,0.0005,0,68.32,45,20.5,0.173208,30,1,1,4,3
PRY,8.207947,-1.771957,6.954545,0.2555556,4.35799,0,0,69.61,39.2,23,0,25,0,1,1,2
SDN,7.306531,-2.703063,4,0.1666667,4.479607,0.931,1,54.97,70.9,28.5,0.02323,0,8,7,0,1
SEN,7.402452,-2.631089,6,0.1555556,5.103883,0.95,1,52.32,63.2,27.2,0.244762,0,3,3,0,1
SGP,10.14643,-0.5008753,9.318182,0.0135556,2.873565,0,1,77.1,4.9,27.1,1,4,8,7,0,1
SLE,6.253829,-2.748872,5.818182,0.0922222,6.180017,0.95,1,37.24,170,26.2,0.466186,0,,,,
SLV,7.948032,-1.851509,5,0.15,4.35799,0,1,69.13,32,23.57101,1,20,,3,,3
TGO,7.222566,-3.218876,6.909091,0.0888889,6.504288,0.95,1,48.84,83.9,26.8,0.16769,0,0,3,0,1
TTO,8.76873,-0.6971552,7.454545,0.1222222,4.442651,0,1,73.8,14.5,25.9,1,40,8,7,0,1
TUN,8.482602,-1.527858,6.454545,0.3777778,4.143135,0,0,69.5,30.3,19.6,0.479655,3,0,1,0,1
TZA,6.253829,-3.442019,6.636364,0.0666667,5.634789,0.9215,1,47.92,81.5,25.09024,0.088189,0,0,3,0,1
UGA,6.966024,-3.442019,4.454545,0.0111111,5.634789,0.95,1,39.64,107,21.57432,0,0,7,7,0,1
URY,9.031214,-1.07881,7,0.3666667,4.26268,0,0,73.93,17.5,18.4,0.312329,60,1,1,1,1
USA,10.21574,0,10,0.4222222,2.70805,0,1,76.7,7.1,11.2,0.111732,87.5,7,7,10,7
VEN,9.071078,-0.7031975,7.136364,0.0888889,4.35799,0.00704,1,72.41,20.9,24.8,0.244409,20,1,1,1,3
VNM,7.279319,,6.409091,0.1777778,4.941642,0.7011,1,67.39,38.2,25.55714,0.570282,0,0,1,0,1
ZAF,8.885994,-1.386294,6.863636,0.3222222,2.74084,0.1045,0,54.73,59.2,17.7,0.19633,22,3,3,3,3
ZAR,6.866933,-3.411248,3.5,0,5.480639,0.95,1,50.79,90.2,23.35455,0.003987,8,0,1,0,1
