Table 33 : GDP and its main expenditure components in chained (2020) dollars,,,,,,,,,,,,,,,,,,
https://www.censtatd.gov.hk/en/web_table.html?id=33#,,,,,,,,,,,,,,,,,,
,,In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1)
,,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change
GDP expenditure component,,GDP,Private consumption expenditure,Government consumption expenditure,Gross domestic fixed capital formation,Changes in inventories,Exports of goods (f.o.b.) (2),Exports of services (2),Imports of goods (f.o.b.) (2),Imports of services (2),GDP,Private consumption expenditure,Government consumption expenditure,Gross domestic fixed capital formation,Exports of goods (f.o.b.) (2),Exports of services (2),Imports of goods (f.o.b.) (2),Imports of services (2)
Year,Quarter,,,,,,,,,,,,,,,,,
1961,,108148,60226,15242,27456,651,22286,31785,31622,8139,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1962,,123604,66681,15922,37007,756,25360,32993,36806,9073,14.3,10.7,4.5,34.8,13.8,3.8,16.4,11.5
1963,,143089,73207,17584,49901,882,27667,34200,40526,9767,15.8,9.8,10.4,34.8,9.1,3.7,10.1,7.7
1964,,155435,79715,19318,55632,967,31508,35809,44996,10501,8.6,8.9,9.9,11.5,13.9,4.7,11,7.5
1965,,178194,90105,20875,62080,1126,36117,36837,47255,11088,14.6,13,8.1,11.6,14.6,2.9,5,5.6
1966,,181392,101068,23217,53961,1137,43036,37848,53951,12334,1.8,12.2,11.2,-13.1,19.2,2.7,14.2,11.2
1967,,184301,102492,25613,44649,1157,49182,40474,55483,12591,1.6,1.4,10.3,-17.3,14.3,6.9,2.8,2.1
1968,,190562,112764,27042,40590,1200,56099,44368,64419,14342,3.4,10,5.6,-9.1,14.1,9.6,16.1,13.9
1969,,212178,122485,29496,42261,1336,66087,49465,71895,15845,11.3,8.6,9.1,4.1,17.8,11.5,11.6,10.5
1970,,231713,135376,30994,48232,1464,72237,55800,80860,17553,9.2,10.5,5.1,14.1,9.3,12.8,12.5,10.8
1971,,248612,152795,31943,59693,1569,76850,55197,91330,19587,7.3,12.9,3.1,23.8,6.4,-1.1,12.9,11.6
1972,,274995,164393,34016,65185,1737,82998,60940,95128,21378,10.6,7.6,6.5,9.2,8,10.4,4.2,9.1
1973,,308764,186063,37545,72825,1958,93758,62540,104894,23580,12.3,13.2,10.4,11.7,13,2.6,10.3,10.3
1974,,316221,182712,40976,71630,3316,89914,61165,96048,22852,2.4,-1.8,9.1,-1.6,-4.1,-2.2,-8.4,-3.1
