observation,id,year,risk_ordered,risk_binary,stock_holding,risk_ratio,age,income,retired,education_uni,education_year12,education_year11,education_year10,married,gender,children
1,100001,2002,2,1,1,1,50,36700,0,0,0,0,1,1,1,0
2,100003,2002,1,0,0,0,49,51878,0,0,0,1,0,1,1,2
3,100010,2002,2,1,1,0,37,80146,0,1,0,0,0,0,0,0
4,100019,2002,2,1,1,1,45,113450,0,1,0,0,0,1,1,0
5,100022,2002,2,1,1,0,55,93964,0,1,0,0,0,0,1,0
6,100024,2002,2,1,1,0,36,23262,0,0,0,0,1,1,1,0
7,100030,2002,2,1,1,0,44,132310,0,0,1,0,0,1,1,1
8,100037,2002,2,1,1,0,44,29050,0,0,0,0,1,0,0,0
9,100039,2002,1,0,0,0,28,44000,0,0,0,0,1,1,1,0
10,100048,2002,1,0,0,0,34,54571,0,0,0,0,1,1,1,0
11,100051,2002,1,0,0,0,65,22778,1,0,0,0,0,0,1,0
12,100052,2002,1,0,0,0,47,50318,0,0,0,0,1,1,1,0
13,100058,2002,3,1,1,1,46,292650,0,1,0,0,0,1,1,2
14,100069,2002,2,1,1,0,50,27578,0,0,0,0,1,0,0,0
15,100082,2002,1,0,0,1,61,82000,0,0,1,0,0,1,1,0
16,100084,2002,2,1,1,0,59,2694,1,0,0,0,1,0,0,0
17,100085,2002,1,0,0,0,30,40107,0,0,0,1,0,0,0,0
18,100087,2002,2,1,1,0,37,77780,0,1,0,0,0,1,1,0
19,100097,2002,2,1,1,0,32,72500,0,0,0,1,0,1,1,0
20,100099,2002,2,1,1,0,33,29256,0,1,0,0,0,1,1,0
21,100107,2002,2,1,1,1,47,33106,0,0,0,1,0,0,0,0
22,100109,2002,2,1,1,0,46,120200,0,1,0,0,0,1,1,2
23,100113,2002,2,1,1,0,51,98431,0,0,0,0,1,1,1,0
24,100119,2002,1,0,0,0,57,35320,0,0,0,0,0,1,1,0
25,100128,2002,4,1,1,1,44,105200,0,0,0,1,0,1,1,1
26,100134,2002,3,1,1,1,62,16600,1,0,0,0,1,1,1,0
27,100137,2002,2,1,1,0,46,46000,0,0,1,0,0,0,0,0
28,100138,2002,1,0,0,0,29,20070,0,0,1,0,0,0,0,0
29,100145,2002,3,1,1,0,29,213024,0,0,1,0,0,1,1,0
30,100151,2002,2,1,1,1,59,32931,0,0,1,0,0,1,1,0
31,100152,2002,2,1,1,0,38,106500,0,1,0,0,0,1,1,0
32,100182,2002,2,1,1,0,31,61030,0,0,1,0,0,1,1,0
33,100185,2002,2,1,1,0,53,56328,0,0,0,0,0,0,1,0
34,100188,2002,1,0,0,0,29,61763,0,0,0,0,1,1,1,0
35,100192,2002,1,0,0,0,42,59620,0,0,1,0,0,1,1,0
36,100197,2002,3,1,1,1,28,68100,0,1,0,0,0,0,0,0
37,100198,2002,2,1,1,0,48,84262,0,0,1,0,0,1,1,1
38,100218,2002,2,1,1,0,50,26000,1,1,0,0,0,0,1,0
39,100245,2002,2,1,1,0,53,93350,0,0,0,0,1,1,1,1
40,100260,2002,1,0,0,0,48,15524,0,0,0,0,0,0,0,0
41,100262,2002,2,1,1,1,40,106779,0,0,0,1,0,1,1,0
42,100271,2002,1,0,0,0,43,23872,0,0,0,0,1,1,1,0
43,100275,2002,2,1,1,1,43,12070,0,0,0,0,1,1,1,0
44,100279,2002,2,1,1,0,48,60010,0,0,0,0,1,0,1,0
45,100280,2002,1,0,0,0,66,83620,0,0,0,0,0,1,1,0
46,100284,2002,2,1,1,1,49,79400,0,1,0,0,0,1,1,0
47,100287,2002,1,0,0,0,47,39500,0,0,1,0,0,1,1,0
48,100299,2002,2,1,1,0,37,87820,0,0,1,0,0,1,1,0
49,100304,2002,2,1,1,0,67,113216,0,0,0,0,1,0,1,0
50,100311,2002,2,1,1,0,73,18470,1,0,0,0,1,1,1,0
51,100315,2002,2,1,1,0,28,137500,0,1,0,0,0,1,1,0
52,100319,2002,3,1,1,0,62,70050,0,0,0,1,0,1,1,0
53,100326,2002,2,1,1,0,43,87280,0,0,0,0,1,1,1,0
54,100327,2002,3,1,1,1,32,40420,0,0,0,1,0,1,1,0
55,100339,2002,1,0,0,0,33,77000,0,0,1,0,0,1,1,0
56,100341,2002,2,1,1,0,36,90892,0,1,0,0,0,1,1,0
57,100353,2002,1,0,0,0,45,45949,0,0,0,0,0,0,0,1
58,100360,2002,2,1,1,0,34,75389,0,0,0,0,1,1,1,0
59,100362,2002,1,0,0,0,60,12872,0,0,1,0,0,0,1,0
60,100364,2002,1,0,0,0,42,82981,0,0,1,0,0,1,1,0
61,100368,2002,1,0,0,0,71,26760,1,0,1,0,0,1,1,0
62,100370,2002,2,1,1,0,32,32140,0,0,0,0,1,1,1,1
63,100377,2002,2,1,1,0,54,37988,1,0,0,0,1,1,1,0
64,100380,2002,3,1,1,1,66,58231,0,1,0,0,0,1,1,0
65,100383,2002,1,0,0,0,39,38474,0,0,1,0,0,0,0,0
66,100388,2002,2,1,1,0,54,356557,0,0,0,0,1,1,1,2
67,100393,2002,1,0,0,1,54,58679,0,0,0,0,1,1,1,0
68,100394,2002,1,0,0,1,52,24031,0,0,0,0,1,0,0,0
69,100398,2002,2,1,1,0,27,104500,0,0,1,0,0,1,1,0
70,100404,2002,1,0,0,0,67,56460,1,0,0,0,1,1,1,0
71,100406,2002,2,1,1,0,60,99903,0,0,0,0,1,1,1,0
72,100414,2002,2,1,1,0,59,55400,0,0,0,0,1,1,1,0
73,100417,2002,1,0,0,1,62,28092,1,0,1,0,0,0,0,0
74,100423,2002,2,1,1,1,33,61500,0,0,1,0,0,1,1,0
75,100426,2002,2,1,1,1,35,76039,0,1,0,0,0,0,1,0
76,100427,2002,1,0,0,0,36,38100,0,0,1,0,0,0,0,0
77,100431,2002,2,1,1,1,49,36134,0,0,0,0,1,1,1,0
78,100433,2002,2,1,1,0,45,25087,0,0,0,1,0,0,0,1
79,100436,2002,1,0,0,0,38,53402,0,0,1,0,0,0,0,0
80,100440,2002,2,1,1,1,68,42150,1,0,1,0,0,1,1,0
81,100449,2002,2,1,1,0,50,69135,0,1,0,0,0,0,0,1
82,100456,2002,2,1,1,0,38,169086,0,0,0,0,1,1,1,0
83,100459,2002,1,0,0,0,53,25523,0,0,0,0,0,1,1,0
84,100462,2002,3,1,1,1,29,106000,0,1,0,0,0,1,1,0
85,100469,2002,1,0,0,1,67,29990,1,1,0,0,0,0,0,0
86,100470,2002,2,1,1,0,58,28000,0,1,0,0,0,0,1,0
87,100473,2002,1,0,0,0,43,85000,0,0,0,1,0,1,1,0
88,100481,2002,2,1,1,0,33,44533,0,0,0,0,1,1,1,0
