datevec,ts,TIME,TIMESTAMP,LOGPRICE,trade,duration,price
3/01/1996 9:30,,,0,,,,
3/01/1996 9:30,,,1,,,,
3/01/1996 9:30,,,2,,,,
3/01/1996 9:30,,,3,,,,
3/01/1996 9:30,,,4,,,,
3/01/1996 9:30,,,5,,,,
3/01/1996 9:30,,,6,,,,
3/01/1996 9:30,,,7,,,,
3/01/1996 9:30,,,8,,,,
3/01/1996 9:30,,,9,,,,
3/01/1996 9:30,,,10,,,,
3/01/1996 9:30,,,11,,,,
3/01/1996 9:30,,,12,,,,
3/01/1996 9:30,,,13,,,,
3/01/1996 9:30,,,14,,,,
3/01/1996 9:30,,,15,,,,
3/01/1996 9:30,,,16,,,,
3/01/1996 9:30,09:30:17,93017,17,4,1,,82.45
3/01/1996 9:30,09:30:18,93018,18,4,2,1,82.45
3/01/1996 9:30,,,19,,,,
3/01/1996 9:30,,,20,,,,
3/01/1996 9:30,,,21,,,,
3/01/1996 9:30,,,22,,,,
3/01/1996 9:30,,,23,,,,
3/01/1996 9:30,,,24,,,,
3/01/1996 9:30,,,25,,,,
3/01/1996 9:30,,,26,,,,
3/01/1996 9:30,09:30:27,93027,27,4,3,9,82.55
3/01/1996 9:30,,,28,,,,
3/01/1996 9:30,,,29,,,,
3/01/1996 9:30,,,30,,,,
3/01/1996 9:30,09:30:31,93031,31,4,4,4,82.47
3/01/1996 9:30,,,32,,,,
3/01/1996 9:30,09:30:33,93033,33,4,5,2,82.49
3/01/1996 9:30,,,34,,,,
3/01/1996 9:30,09:30:35,93035,35,4,6,2,82.48
3/01/1996 9:30,09:30:36,93036,36,4,7,1,82.46
3/01/1996 9:30,,,37,,,,
3/01/1996 9:30,,,38,,,,
3/01/1996 9:30,,,39,,,,
3/01/1996 9:30,,,40,,,,
3/01/1996 9:30,,,41,,,,
3/01/1996 9:30,,,42,,,,
3/01/1996 9:30,09:30:43,93043,43,4,8,7,82.46
3/01/1996 9:30,,,44,,,,
3/01/1996 9:30,,,45,,,,
3/01/1996 9:30,09:30:46,93046,46,4,9,3,82.46
3/01/1996 9:30,,,47,,,,
3/01/1996 9:30,,,48,,,,
3/01/1996 9:30,09:30:49,93049,49,4,10,3,82.43
3/01/1996 9:30,,,50,,,,
3/01/1996 9:30,,,51,,,,
3/01/1996 9:30,,,52,,,,
3/01/1996 9:30,09:30:53,93053,53,4,11,4,82.42
3/01/1996 9:30,,,54,,,,
3/01/1996 9:30,,,55,,,,
3/01/1996 9:30,,,56,,,,
3/01/1996 9:30,09:30:57,93057,57,4,12,4,82.42
3/01/1996 9:30,,,58,,,,
3/01/1996 9:30,,,59,,,,
3/01/1996 9:31,,,60,,,,
3/01/1996 9:31,,,61,,,,
3/01/1996 9:31,,,62,,,,
3/01/1996 9:31,,,63,,,,
3/01/1996 9:31,,,64,,,,
3/01/1996 9:31,09:31:05,93105,65,4,13,8,82.38
3/01/1996 9:31,09:31:06,93106,66,4,14,1,82.38
3/01/1996 9:31,,,67,,,,
3/01/1996 9:31,,,68,,,,
3/01/1996 9:31,,,69,,,,
3/01/1996 9:31,,,70,,,,
3/01/1996 9:31,,,71,,,,
3/01/1996 9:31,09:31:12,93112,72,4,15,6,82.39
3/01/1996 9:31,,,73,,,,
3/01/1996 9:31,09:31:14,93114,74,4,16,2,82.45
3/01/1996 9:31,,,75,,,,
3/01/1996 9:31,,,76,,,,
